Complaint ID,Complaint Text,Category
1,Recharge amount was deducted but the service was not activated.,Payment Gateway Error
2,Customer support closed the complaint without solving the issue.,Failed Transaction
3,Paytm - Merchant payment failed but wallet shows balance deduction.,Duplicate Transaction
4,KYC verification keeps getting rejected without clear reason.,Card Linking Issue
5,Transaction failed but the amount was deducted from my bank account.,Customer Support Delay
6,Unable to link my debit card to the Paytm app.,Promo Code Not Applied
7,Payment to merchant failed but wallet balance was deducted.,Slow App Performance
8,The app takes too long to load transaction history.,Duplicate Transaction
9,Repeated transaction failure while paying electricity bill.,Card Linking Issue
10,Duplicate payment was processed for the same bill.,Slow App Performance
11,Unable to set UPI PIN due to app crash during verification.,QR Code Not Scanning
12,Paytm - Payment to merchant failed but wallet balance was deducted.,App Login Failure
13,Unable to complete KYC verification on Paytm app.,Duplicate Transaction
14,The app is running very slow while loading the home page.,Failed Transaction
15,Unable to link my debit card to the Paytm app.,UPI Transfer Failure
16,The money was deducted but payment confirmation was not received.,App Crash Issue
17,Paytm - Customer support is not responding to my complaint.,Money Deducted Without Confirmation
18,My Paytm account is blocked without any explanation.,KYC Issues
19,The Paytm app keeps crashing while making payments.,Wallet Balance Issue
20,My Paytm account is blocked without any explanation.,QR Code Not Scanning
21,The wallet was debited twice for a single payment.,Payment Gateway Error
22,The payment reversal has not been processed yet.,Card Linking Issue
23,Incorrect bill payment recorded despite entering correct details.,Payment Reversal Issue
24,Bill payment failed but the amount was still deducted.,Customer Support Delay
25,My promo code was not applied during the transaction.,Failed Transaction
26,Duplicate payment was processed for the same bill.,Money Deducted Without Confirmation
27,Transaction details disappeared from my history after payment.,UPI Transfer Failure
28,The payment reversal has not been processed yet.,App Crash Issue
29,Paytm - The app is frequently logging me out during payment.,Wallet Balance Issue
30,Refund processed partially instead of full amount.,Failed Transaction
31,Transaction details disappeared from my history after payment.,Money Deducted Without Confirmation
32,Transaction failed but the amount was deducted from my bank account.,Incorrect Recharge
33,Incorrect bill payment recorded despite entering correct details.,App Login Failure
34,The payment reversal has not been processed yet.,App Crash Issue
35,Payment to merchant failed but wallet balance was deducted.,Money Deducted Without Confirmation
36,The Paytm app keeps crashing while making payments.,App Login Failure
37,The app failed to update wallet balance after payment.,Failed Transaction
38,Paytm - The transaction failed but the refund has not yet been processed.,Money Deducted Without Confirmation
39,Unable to link my debit card to the Paytm app.,Duplicate Transaction
40,Customer support closed the complaint without solving the issue.,Payment Reversal Issue
41,Paytm - Customer support closed the complaint without solving the issue.,Promo Code Not Applied
42,The recharge was done for the wrong mobile number.,Money Deducted Without Confirmation
43,Paytm - The transaction failed but the refund has not yet been processed.,Promo Code Not Applied
44,Bill payment failed but the amount was still deducted.,Merchant Payment Failure
45,Unable to set UPI PIN due to app crash during verification.,Incorrect Bill Payment
46,Paytm - UPI transaction shows success but the recipient did not receive the money.,Card Linking Issue
47,Unable to complete KYC verification on Paytm app.,Refund Delay
48,Transaction failed but the amount was deducted from my bank account.,Duplicate Transaction
49,Unable to complete KYC verification on Paytm app.,Wallet Balance Issue
50,Paytm - Transaction failed but the amount was deducted from my bank account.,Incorrect Recharge
51,Paytm - Repeated transaction failure while paying electricity bill.,Money Deducted Without Confirmation
52,Duplicate payment was processed for the same bill.,Incorrect Bill Payment
53,Paytm - The transaction failed but the refund has not yet been processed.,Duplicate Transaction
54,Transaction details disappeared from my history after payment.,Promo Code Not Applied
55,The Paytm payment gateway is not processing my transactions.,App Crash Issue
